,min,max
HRV_CVNN,0.011461764222395868,0.7774949474617193
HRV_CVSD,0.017235429996904476,1.0965538040143499
HRV_HF,0.0007990508896567026,0.2081332165691359
HRV_HFn,0.09136450996721703,0.9975964412727076
HRV_HTI,2.411764705882353,29.0
HRV_IQRNN,8.0,488.0
HRV_LnHF,-7.132085922540743,-1.5695769400158412
HRV_MCVNN,0.01684772727272727,0.5512230769230769
HRV_MadNN,11.8608,343.9632
HRV_MaxNN,608.0,4096.0
HRV_MeanNN,525.0909090909091,974.4
HRV_MedianNN,464.0,996.0
HRV_MinNN,312.0,872.0
HRV_Prc20NN,368.0,942.4
HRV_Prc80NN,561.6,1057.6
HRV_RMSSD,12.066482503198685,954.3123178498746
HRV_SDNN,8.024353176576854,634.2336821995215
HRV_SDRMSSD,0.5327158057315771,2.4956625933919674
HRV_SDSD,12.218523138755668,969.581752197074
HRV_TINN,0.0,671.875
HRV_TP,0.0009736489891709766,0.26402892757702845
HRV_VHF,9.71604728987452e-05,0.07031076637111391
HRV_pNN20,9.75609756097561,97.77777777777777
HRV_pNN50,0.0,97.2972972972973
