,min,max
HRV_CVNN,0.023963635788104617,1.1757681151804706
HRV_CVSD,0.026954086071387537,1.4277752270868735
HRV_HF,0.00035088863837539643,0.1969265652402044
HRV_HFn,0.1577551284202078,0.9982100952062116
HRV_HTI,3.6666666666666665,26.5
HRV_IQRNN,18.0,436.0
HRV_LnHF,-7.955041654424816,-1.6249243850165456
HRV_MCVNN,0.019767999999999997,0.5374424999999999
HRV_MadNN,11.8608,343.9632
HRV_MaxNN,616.0,6104.0
HRV_MeanNN,532.2962962962963,1024.0
HRV_MedianNN,520.0,1048.0
HRV_MinNN,312.0,888.0
HRV_Prc20NN,384.0,969.6
HRV_Prc80NN,552.0,1091.2
HRV_RMSSD,16.041612554021285,1410.8388588759121
HRV_SDNN,18.27166765891739,979.5453655409276
HRV_SDRMSSD,0.5582615965926538,2.6549315849888258
HRV_SDSD,16.20349318787038,1436.1749020249413
HRV_TINN,0.0,687.5
HRV_TP,0.00039654900433771655,0.2547737966647969
HRV_VHF,4.5660365962320106e-05,0.07315813691079188
HRV_pNN20,10.416666666666668,98.21428571428571
HRV_pNN50,0.0,97.05882352941177
