,min,max
HRV_CVNN,0.014287177795380529,1.1757681151804706
HRV_CVSD,0.015322428578203685,1.6160737067188693
HRV_HF,0.00035088863837539654,0.21146840550734566
HRV_HFn,0.12480682850077994,0.9993922468313946
HRV_HTI,2.4,32.0
HRV_IQRNN,8.0,604.0
HRV_LnHF,-7.955041654424816,-1.5536796745985397
HRV_MCVNN,0.006648430493273542,0.5579677419354838
HRV_MadNN,5.9304,415.128
HRV_MaxNN,592.0,6656.0
HRV_MeanNN,502.48275862068965,1105.8461538461538
HRV_MedianNN,488.0,1112.0
HRV_MinNN,312.0,1048.0
HRV_Prc20NN,376.0,1080.0
HRV_Prc80NN,520.0,1152.0
HRV_RMSSD,9.55165129981154,1586.6500199206773
HRV_SDNN,8.92363186565643,1100.7403151421822
HRV_SDRMSSD,0.5137252879797712,5.704906299173803
HRV_SDSD,9.653382261372505,1615.6997992417528
HRV_TINN,0.0,851.5625
HRV_TP,0.00039654900433771666,0.29042621300694027
HRV_VHF,1.1331145425624939e-05,0.07299801880858661
HRV_pNN20,2.0408163265306123,97.77777777777777
HRV_pNN50,0.0,97.36842105263158
