,min,max
HRV_CVNN,0.03251821685780508,1.7466368186901264
HRV_CVSD,0.0408862900940683,2.5334849416058365
HRV_HF,0.0007535454609109538,0.1978582820381282
HRV_HFn,0.1124497841104474,0.9948482644434974
HRV_HTI,3.923076923076923,24.6
HRV_IQRNN,18.0,580.0
HRV_LnHF,-7.190721208723719,-1.6202042518391586
HRV_MCVNN,0.019254545454545455,0.559152
HRV_MadNN,11.8608,391.40639999999996
HRV_MaxNN,560.0,12592.0
HRV_MeanNN,511.859649122807,1538.1052631578948
HRV_MedianNN,496.0,1032.0
HRV_MinNN,312.0,848.0
HRV_Prc20NN,392.0,969.6
HRV_Prc80NN,536.0,1120.0
HRV_RMSSD,23.57798907089939,3896.766522815209
HRV_SDNN,19.47465885868961,2686.511283652645
HRV_SDRMSSD,0.5769760805564932,1.7820525226738795
HRV_SDSD,23.812074709289497,4009.7370637314157
HRV_TINN,0.0,796.875
HRV_TP,0.0007628871344791766,0.2660495639219749
HRV_VHF,9.341673568222695e-06,0.07096534533174055
HRV_pNN20,19.148936170212767,97.5609756097561
HRV_pNN50,1.9230769230769231,97.5609756097561
