,min,max
HRV_CVNN,0.03251821685780508,1.4824894820172636
HRV_CVSD,0.0408862900940683,1.5573229655555418
HRV_HF,0.0036551367550746363,0.20541857227648197
HRV_HFn,0.19723027905098098,0.9948482644434974
HRV_HTI,3.1,31.75
HRV_IQRNN,16.0,486.0
HRV_LnHF,-5.611621770591259,-1.5827055655340299
HRV_MCVNN,0.012564406779661016,0.51891
HRV_MadNN,11.8608,373.61519999999996
HRV_MaxNN,632.0,8304.0
HRV_MeanNN,527.8060606060606,957.2413793103449
HRV_MedianNN,512.0,992.0
HRV_MinNN,312.0,840.0
HRV_Prc20NN,428.8,936.0
HRV_Prc80NN,544.0,1072.0
HRV_RMSSD,26.5329983228432,1476.3421713466537
HRV_SDNN,20.59052030847092,1405.4000289523658
HRV_SDRMSSD,0.5550284011630194,2.017624278766588
HRV_SDSD,26.81166254127018,1478.3588291028018
HRV_TINN,0.0,703.125
HRV_TP,0.004602596103032617,0.2489377908929658
HRV_VHF,0.0003628395687944519,0.0700174025989157
HRV_pNN20,14.000000000000002,97.5
HRV_pNN50,2.0408163265306123,92.5
